loan_id,loan_amount,term,annual_income,credit_score,employment_length,purpose,default
L0001,25654,60,63765,584,10,medical,1
L0002,17795,60,59816,645,0,debt_consolidation,0
L0003,2860,60,70106,637,5,car,0
L0004,7390,60,78932,627,7,home_improvement,0
L0005,23575,36,42100,581,2,debt_consolidation,1
L0006,13964,60,82091,669,7,medical,1
L0007,13284,60,46949,595,0,small_business,0
L0008,24118,60,95080,784,10,education,0
L0009,8265,36,62744,693,10,medical,1
L0010,18850,60,70543,745,8,small_business,0
L0011,6426,36,117193,793,10,debt_consolidation,1
L0012,23962,60,61187,714,8,car,1
L0013,16423,36,32239,731,4,medical,0
L0014,13363,36,39489,762,9,vacation,0
L0015,29495,60,83017,691,3,small_business,0
L0016,18023,36,86877,772,10,car,0
L0017,10322,60,68125,604,5,education,1
L0018,3685,60,74922,725,6,education,0
L0019,2769,60,119074,759,4,home_improvement,1
L0020,28967,36,57049,556,10,small_business,0
L0021,25333,36,62131,623,9,debt_consolidation,1
L0022,4433,60,67944,556,8,home_improvement,0
L0023,7311,60,98963,710,2,home_improvement,0
L0024,7051,36,49285,700,6,credit_card,0
L0025,8420,60,62626,634,9,medical,0
L0026,19568,60,67808,696,9,small_business,0
L0027,22939,60,113464,661,10,home_improvement,1
L0028,21769,36,78871,674,4,credit_card,0
L0029,8396,36,44198,696,6,debt_consolidation,0
L0030,29480,36,44758,585,1,car,0
L0031,10666,60,40254,578,3,vacation,0
L0032,27658,60,69238,737,1,vacation,0
L0033,20942,60,26252,631,6,small_business,1
L0034,26233,36,64764,551,1,home_improvement,1
L0035,20431,60,102709,678,10,vacation,1
L0036,4747,60,62441,596,0,medical,1
L0037,27551,60,117234,746,8,vacation,0
L0038,28382,60,78682,697,0,vacation,0
L0039,2189,36,84494,560,7,vacation,0
L0040,21118,36,106317,783,1,education,1
L0041,5005,60,90215,679,7,credit_card,0
L0042,23042,36,103587,744,2,home_improvement,0
L0043,3899,36,31949,764,5,medical,0
L0044,26118,60,80393,668,2,home_improvement,0
L0045,3267,60,98553,689,6,education,1
L0046,19912,36,31941,569,9,small_business,1
L0047,13394,60,50934,554,8,small_business,0
L0048,5556,36,48386,586,1,small_business,1
L0049,5890,60,86886,715,4,debt_consolidation,0
L0050,10838,36,100745,771,5,vacation,0
L0051,29464,60,108251,686,3,debt_consolidation,0
L0052,16502,36,119456,775,3,credit_card,0
L0053,23777,36,78413,602,3,small_business,0
L0054,12627,36,81800,721,1,education,1
L0055,10792,60,67318,648,3,medical,0
L0056,12555,36,95173,793,10,home_improvement,1
L0057,12253,36,95390,799,0,vacation,0
L0058,10433,60,77329,635,5,car,0
L0059,12233,60,68088,657,0,medical,0
L0060,13016,36,64811,573,9,vacation,0
L0061,25897,36,80479,630,5,debt_consolidation,0
L0062,4612,60,110392,751,0,debt_consolidation,1
L0063,25425,60,112369,707,5,medical,0
L0064,27939,60,44963,669,9,debt_consolidation,0
L0065,24619,60,80123,608,7,small_business,0
L0066,23870,60,117705,787,10,credit_card,0
L0067,25483,36,98477,764,1,home_improvement,0
L0068,28054,60,39388,677,1,credit_card,0
L0069,17787,36,30569,773,3,vacation,0
L0070,29132,36,94836,758,10,home_improvement,0
L0071,19159,36,61586,663,2,education,0
